Timepoint,Flask,mM_HCHO,rep,CFU,CFU_ext
0,A,0,A,1454545.455,1454545.455
0,A,0,B,2000000,2000000
0,A,0,C,1272727.273,1272727.273
0,A,1,A,818181.8182,818181.8182
0,A,1,B,1545454.545,1545454.545
0,A,1,C,1000000,1000000
0,A,2,A,100000,100000
0,A,2,B,45454.54545,45454.54545
0,A,2,C,54545.45455,54545.45455
0,A,3,A,1727.272727,1727.272727
0,A,3,B,2181.818182,2181.818182
0,A,3,C,1909.090909,1909.090909
0,A,4,A,545.4545455,545.4545455
0,A,4,B,90.90909091,90.90909091
0,A,4,C,454.5454545,454.5454545
0,A,5,A,0,90.90909091
0,A,5,B,0,0
0,A,5,C,0,0
0,A,6,A,0,0
0,A,6,B,0,0
0,A,6,C,0,0
0,B,0,A,1181818.182,1181818.182
0,B,0,B,818181.8182,818181.8182
0,B,0,C,1000000,1000000
0,B,1,A,1636363.636,1636363.636
0,B,1,B,818181.8182,818181.8182
0,B,1,C,909090.9091,909090.9091
0,B,2,A,45454.54545,45454.54545
0,B,2,B,54545.45455,54545.45455
0,B,2,C,54545.45455,54545.45455
0,B,3,A,1636.363636,1636.363636
0,B,3,B,1545.454545,1545.454545
0,B,3,C,1636.363636,1636.363636
0,B,4,A,545.4545455,545.4545455
0,B,4,B,272.7272727,272.7272727
0,B,4,C,181.8181818,181.8181818
0,B,5,A,0,90.90909091
0,B,5,B,0,0
0,B,5,C,0,0
0,B,6,A,0,0
0,B,6,B,0,0
0,B,6,C,0,0
0,C,0,A,1181818.182,1181818.182
0,C,0,B,909090.9091,909090.9091
0,C,0,C,1636363.636,1636363.636
0,C,1,A,909090.9091,909090.9091
0,C,1,B,727272.7273,727272.7273
0,C,1,C,1000000,1000000
0,C,2,A,30909.09091,30909.09091
0,C,2,B,36363.63636,36363.63636
0,C,2,C,39090.90909,39090.90909
0,C,3,A,2181.818182,2181.818182
0,C,3,B,2181.818182,2181.818182
0,C,3,C,2272.727273,2272.727273
0,C,4,A,363.6363636,363.6363636
0,C,4,B,454.5454545,454.5454545
0,C,4,C,272.7272727,272.7272727
0,C,5,A,0,90.90909091
0,C,5,B,0,0
0,C,5,C,0,0
0,C,6,A,0,0
0,C,6,B,0,0
0,C,6,C,0,0
2,A,0,A,1909090.909,1909090.909
2,A,0,B,2000000,2000000
2,A,1,A,45454.54545,45454.54545
2,A,1,B,36363.63636,36363.63636
2,A,2,A,3000,3000
2,A,2,B,2545.454545,2545.454545
2,A,3,A,727.2727273,727.2727273
2,A,3,B,818.1818182,818.1818182
2,A,4,A,0,90.90909091
2,A,4,B,0,0
2,A,5,A,0,0
2,A,5,B,0,0
2,B,0,A,2363636.364,2363636.364
2,B,0,B,1727272.727,1727272.727
2,B,1,A,81818.18182,81818.18182
2,B,1,B,100000,100000
2,B,2,A,2636.363636,2636.363636
2,B,2,B,2454.545455,2454.545455
2,B,3,A,90.90909091,90.90909091
2,B,3,B,363.6363636,363.6363636
2,B,4,A,181.8181818,181.8181818
2,B,4,B,90.90909091,90.90909091
2,B,5,A,0,90.90909091
2,B,5,B,0,0
2,C,0,A,1727272.727,1727272.727
2,C,0,B,1727272.727,1727272.727
2,C,1,A,27272.72727,27272.72727
2,C,1,B,54545.45455,54545.45455
2,C,2,A,2090.909091,2090.909091
2,C,2,B,3090.909091,3090.909091
2,C,3,A,727.2727273,727.2727273
2,C,3,B,272.7272727,272.7272727
2,C,4,A,181.8181818,181.8181818
2,C,4,B,0,0
2,C,5,A,0,90.90909091
2,C,5,B,0,0
4,A,0,A,909090.9091,909090.9091
4,A,0,B,1090909.091,1090909.091
4,A,0,C,1000000,1000000
4,A,1,A,218181.8182,218181.8182
4,A,1,B,181818.1818,181818.1818
4,A,1,C,136363.6364,136363.6364
4,A,2,A,454.5454545,454.5454545
4,A,2,B,363.6363636,363.6363636
4,A,2,C,181.8181818,181.8181818
4,A,3,A,90.90909091,90.90909091
4,A,3,B,363.6363636,363.6363636
4,A,3,C,181.8181818,181.8181818
4,A,4,A,90.90909091,90.90909091
4,A,4,B,90.90909091,90.90909091
4,A,4,C,0,0
4,A,5,A,0,90.90909091
4,A,5,B,0,0
4,A,5,C,0,0
4,A,6,A,0,0
4,A,6,B,0,0
4,A,6,C,0,0
