Flask,Timepoint,mM_HCHO,Rep,CFU,CFU_ext
10M,0,0,A,2272727.273,2272727.273
10M,0,0,B,1454545.455,1454545.455
10M,0,0,C,1636363.636,1636363.636
10M,0,2,A,463636.3636,463636.3636
10M,0,2,B,436363.6364,436363.6364
10M,0,2,C,409090.9091,409090.9091
10M,0,4,A,54545.45455,54545.45455
10M,0,4,B,109090.9091,109090.9091
10M,0,4,C,127272.7273,127272.7273
10M,0,6,A,32727.27273,32727.27273
10M,0,6,B,25454.54545,25454.54545
10M,0,6,C,36363.63636,36363.63636
10M,0,8,A,2090.909091,2090.909091
10M,0,8,B,1636.363636,1636.363636
10M,0,8,C,1454.545455,1454.545455
10M,0,10,A,0,90.90909091
10M,0,10,B,0,0
10M,0,10,C,0,0
10M,0,12,A,0,0
10M,0,12,B,0,0
10M,0,12,C,0,0
10S,0,0,A,1636363.636,1636363.636
10S,0,0,B,2454545.455,2454545.455
10S,0,0,C,1636363.636,1636363.636
10S,0,2,A,236363.6364,236363.6364
10S,0,2,B,272727.2727,272727.2727
10S,0,2,C,327272.7273,327272.7273
10S,0,4,A,90909.09091,90909.09091
10S,0,4,B,54545.45455,54545.45455
10S,0,4,C,72727.27273,72727.27273
10S,0,6,A,23636.36364,23636.36364
10S,0,6,B,23636.36364,23636.36364
10S,0,6,C,28181.81818,28181.81818
10S,0,8,A,1181.818182,1181.818182
10S,0,8,B,818.1818182,818.1818182
10S,0,8,C,636.3636364,636.3636364
10S,0,10,A,0,90.90909091
10S,0,10,B,0,0
10S,0,10,C,0,0
10S,0,12,A,0,0
10S,0,12,B,0,0
10S,0,12,C,0,0
11M,0,0,A,1545454.545,1545454.545
11M,0,0,B,2454545.455,2454545.455
11M,0,0,C,2181818.182,2181818.182
11M,0,2,A,1000000,1000000
11M,0,2,B,1181818.182,1181818.182
11M,0,2,C,1090909.091,1090909.091
11M,0,4,A,545454.5455,545454.5455
11M,0,4,B,454545.4545,454545.4545
11M,0,4,C,1181818.182,1181818.182
11M,0,6,A,354545.4545,354545.4545
11M,0,6,B,309090.9091,309090.9091
11M,0,6,C,254545.4545,254545.4545
11M,0,8,A,22727.27273,22727.27273
11M,0,8,B,16363.63636,16363.63636
11M,0,8,C,17272.72727,17272.72727
11M,0,10,A,0,90.90909091
11M,0,10,B,0,0
11M,0,10,C,0,0
11M,0,12,A,0,0
11M,0,12,B,0,0
11M,0,12,C,0,0
11S,0,0,A,1181818.182,1181818.182
11S,0,0,B,727272.7273,727272.7273
11S,0,0,C,1636363.636,1636363.636
11S,0,2,A,636363.6364,636363.6364
11S,0,2,B,1000000,1000000
11S,0,2,C,727272.7273,727272.7273
11S,0,4,A,727272.7273,727272.7273
11S,0,4,B,481818.1818,481818.1818
11S,0,4,C,536363.6364,536363.6364
11S,0,6,A,290909.0909,290909.0909
11S,0,6,B,309090.9091,309090.9091
11S,0,6,C,363636.3636,363636.3636
11S,0,8,A,7272.727273,7272.727273
11S,0,8,B,9090.909091,9090.909091
11S,0,8,C,10000,10000
11S,0,10,A,0,90.90909091
11S,0,10,B,0,0
11S,0,10,C,0,0
11S,0,12,A,0,0
11S,0,12,B,0,0
11S,0,12,C,0,0
12M,0,0,A,1727272.727,1727272.727
12M,0,0,B,1909090.909,1909090.909
12M,0,0,C,1909090.909,1909090.909
12M,0,2,A,818181.8182,818181.8182
12M,0,2,B,818181.8182,818181.8182
12M,0,2,C,545454.5455,545454.5455
12M,0,4,A,54545.45455,54545.45455
12M,0,4,B,90909.09091,90909.09091
12M,0,4,C,45454.54545,45454.54545
12M,0,6,A,27272.72727,27272.72727
12M,0,6,B,36363.63636,36363.63636
12M,0,6,C,35454.54545,35454.54545
12M,0,8,A,1818.181818,1818.181818
12M,0,8,B,2272.727273,2272.727273
12M,0,8,C,1363.636364,1363.636364
12M,0,10,A,0,90.90909091
12M,0,10,B,0,0
12M,0,10,C,0,0
12M,0,12,A,0,0
12M,0,12,B,0,0
12M,0,12,C,0,0
12S,0,0,A,2363636.364,2363636.364
12S,0,0,B,3090909.091,3090909.091
12S,0,0,C,2545454.545,2545454.545
12S,0,2,A,1090909.091,1090909.091
12S,0,2,B,1000000,1000000
12S,0,2,C,1000000,1000000
12S,0,4,A,45454.54545,45454.54545
12S,0,4,B,181818.1818,181818.1818
12S,0,4,C,45454.54545,45454.54545
12S,0,6,A,33636.36364,33636.36364
12S,0,6,B,26363.63636,26363.63636
12S,0,6,C,33636.36364,33636.36364
12S,0,8,A,1454.545455,1454.545455
12S,0,8,B,2363.636364,2363.636364
12S,0,8,C,1363.636364,1363.636364
12S,0,10,A,0,90.90909091
12S,0,10,B,0,0
12S,0,10,C,0,0
12S,0,12,A,0,0
12S,0,12,B,0,0
12S,0,12,C,0,0
10M,4,0,A,3181818.182,3181818.182
10M,4,0,B,2909090.909,2909090.909
10M,4,0,C,2818181.818,2818181.818
10M,4,2,A,2545454.545,2545454.545
10M,4,2,B,2545454.545,2545454.545
10M,4,2,C,2454545.455,2454545.455
10M,4,4,A,190909.0909,190909.0909
10M,4,4,B,236363.6364,236363.6364
10M,4,4,C,190909.0909,190909.0909
10M,4,6,A,72727.27273,72727.27273
10M,4,6,B,127272.7273,127272.7273
10M,4,6,C,100000,100000
10M,4,8,A,15454.54545,15454.54545
10M,4,8,B,17272.72727,17272.72727
10M,4,8,C,13636.36364,13636.36364
10M,4,10,A,0,90.90909091
10M,4,10,B,0,0
10M,4,10,C,0,0
10M,4,12,A,0,0
10M,4,12,B,0,0
10M,4,12,C,0,0
10S,4,0,A,1818181.818,1818181.818
10S,4,0,B,3000000,3000000
10S,4,0,C,1545454.545,1545454.545
10S,4,2,A,1272727.273,1272727.273
10S,4,2,B,1090909.091,1090909.091
10S,4,2,C,909090.9091,909090.9091
10S,4,4,A,100000,100000
10S,4,4,B,136363.6364,136363.6364
10S,4,4,C,154545.4545,154545.4545
10S,4,6,A,100000,100000
10S,4,6,B,90909.09091,90909.09091
10S,4,6,C,90909.09091,90909.09091
10S,4,8,A,3545.454545,3545.454545
10S,4,8,B,4000,4000
10S,4,8,C,3000,3000
10S,4,10,A,0,90.90909091
10S,4,10,B,0,0
10S,4,10,C,0,0
10S,4,12,A,0,0
10S,4,12,B,0,0
10S,4,12,C,0,0
11M,4,0,A,3545454.545,3545454.545
11M,4,0,B,3636363.636,3636363.636
11M,4,0,C,3545454.545,3545454.545
11M,4,2,A,2454545.455,2454545.455
11M,4,2,B,3363636.364,3363636.364
11M,4,2,C,3000000,3000000
11M,4,4,A,1363636.364,1363636.364
11M,4,4,B,1909090.909,1909090.909
11M,4,4,C,1363636.364,1363636.364
11M,4,6,A,1181818.182,1181818.182
11M,4,6,B,1181818.182,1181818.182
11M,4,6,C,1545454.545,1545454.545
